編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
801714,27,’araramaw,,3270045,,I,一半,01數字計量,,,,
801719,27,aray,,3270377,,I,魚網,09物品(不含食品),,,,
801727,27,’aridi,PAN30995,3270235,,S,翅膀,07動物(含昆蟲),,,,
801748,27,asabalriya,,3270586,,U,味道,21食物(非植物),,,,
801750,27,’asabo,,3270408,,I,雪,11自然景觀,,,,
801750,27,’asabo,,3270419,,S,冰,11自然景觀,,,,
801750,27,’asabo,,3270423,,U,霜,11自然景觀,,,,
801783,27,’asatedra,,3271035,,S,剩下,34其他,,,,
801799,27,asi,,3270079,,B,為什麼,03疑問詞,,,,
801800,27,asi’i,PAN30002,3271042,,I,數(計算),34其他,,,,
801823,27,’asikaolo,,3271013,,S,使喚,33助動詞,,,,
801836,27,asiloiya,,3271062,,I,因為,36助詞或其他,,,,
801882,27,asolro,PAN27645,3270325,,I,木杵,09物品(不含食品),,,806498,
801883,27,’asoro,,3271026,,S,留下,34其他,,,,
801937,27,atatabang,,3270211,,S,蟑螂,07動物(含昆蟲),,,,
801940,27,atatimalaw,,3270218,,S,蚊子,07動物(含昆蟲),,,,
801941,27,atatolrale,,3270225,,I,蚯蚓,07動物(含昆蟲),,,,
801950,27,’atenga,,3271058,,B,真的,36助詞或其他,,,,
801958,27,athang,,3270610,,S,狗吠,23聲音,,,,
801961,27,athay,PAN27555,3270164,,I,肝臟,06身體部位,,,,
801968,27,’athingathingale,811544,3270827,,S,教(如教人寫字),28認知感官,,,,
801975,27,ati,,3270156,,U,女性生殖器,06身體部位,,,803005,
801982,27,atodralro,,3270824,,S,交代(事情),28認知感官,,,,
801983,27,’atong,,3270900,,I,點火,30生活作息,,,,
802101,27,’atwanaw,,3271037,,I,開始,34其他,,,,
802157,27,avava,,3270158,,I,心臟,06身體部位,,,,
802159,27,avelevele,,3270742,,U,振動,26肢體動作,,,,
802164,27,aw’awko,,3270251,,S,蚱蜢,07動物(含昆蟲),,,,
802188,27,awlro,PAN27867,3270136,,B,頭,06身體部位,,,,
802204,27,aydri,,3270773,,I,招手,26肢體動作,,,,
